#time,left.insoleId,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,left.totalForce,left.rawForces.0,left.rawForces.1,left.rawForces.2,left.rawForces.3,left.rawForces.4,left.rawForces.5,left.rawForces.6,left.rawForces.7,left.rawForces.8,left.rawForces.12,left.rawForces.13,left.rawForces.14,left.rawForces.17,left.rawForces.18,left.rawForces.21,left.rawForces.22,left.totalRawForce,right.insoleId,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22,right.totalForce,right.rawForces.0,right.rawForces.1,right.rawForces.2,right.rawForces.3,right.rawForces.4,right.rawForces.5,right.rawForces.6,right.rawForces.7,right.rawForces.8,right.rawForces.12,right.rawForces.13,right.rawForces.14,right.rawForces.17,right.rawForces.18,right.rawForces.21,right.rawForces.22,right.totalRawForce
0.035,L101,-51.0,-7.0,12.0,4.0,-50.0,1138.0,6.434615,9.946519,5.0595255,4.1792974,7.1519723,31.16179,50.55183,26.974577,9.239309,5.7471247,9.641694,4.860243,0.68147284,0.5194591,-0.18184212,0.73176587,172.69936,106.0,108.0,81.0,61.0,165.0,318.0,426.0,343.0,141.0,74.0,126.0,99.0,9.0,10.0,5.0,0.0,2072.0,R101,93.0,73.0,-82.0,496.0,-1726.0,1166.0,-1.2309331,1.0846632,0.7897148,0.7235645,-3.0753064,0.26740894,4.0718846,0.5069384,1.5806947,0.11738434,0.9206464,-0.4934752,-0.024885884,0.7153573,0.5661601,-1.3403915,5.1794257,-3.0,3.0,8.0,2.0,-2.0,0.0,2.0,4.0,1.0,3.0,0.0,1.0,4.0,8.0,5.0,2.0,38.0
0.049,L101,-71.0,-10.0,12.0,4.0,-79.0,1126.0,7.5728693,10.587613,5.2586966,5.1151457,7.7610216,36.939354,65.624435,33.96373,7.519489,4.60182,5.4701347,2.339589,0.5642031,0.57467,-0.49379984,0.73176587,194.13074,128.0,114.0,84.0,81.0,172.0,354.0,471.0,383.0,121.0,60.0,83.0,51.0,7.0,11.0,2.0,0.0,2122.0,R101,54.0,12.0,-52.0,365.0,-1824.0,968.0,-0.95849884,1.0846632,0.783143,0.82242346,-3.2356255,0.66635096,4.0479956,0.5802484,1.5806947,-0.015593896,0.93664944,-0.28676605,0.037163474,0.7153573,0.5661601,-1.1498079,6.1745567,0.0,3.0,9.0,5.0,-3.0,6.0,1.0,8.0,1.0,2.0,2.0,3.0,5.0,8.0,5.0,3.0,58.0
0.191,L101,-123.0,-8.0,10.0,15.0,-164.0,1164.0,8.304629,12.672853,5.526721,6.7869477,5.575401,40.17905,85.51394,43.3832,2.765595,3.2281487,2.178656,0.8622928,0.6222699,0.17301486,-0.59939283,0.6875268,217.86086,142.0,133.0,88.0,115.0,145.0,372.0,517.0,425.0,63.0,43.0,43.0,22.0,8.0,4.0,1.0,-1.0,2120.0,R101,-50.0,1.0,-66.0,106.0,-1706.0,810.0,-0.95849884,1.0846632,0.783143,0.75602806,-3.2356255,0.79954964,4.0479956,0.523243,1.5405912,0.37804067,0.9274927,-0.38909772,0.16301422,0.8602836,0.5661601,-0.24757458,7.599408,0.0,3.0,9.0,3.0,-3.0,8.0,1.0,5.0,2.0,5.0,1.0,2.0,7.0,12.0,5.0,8.0,68.0
0.206,L101,-157.0,-5.0,12.0,20.0,-218.0,1179.0,9.300762,13.233821,6.5528154,8.184429,3.743883,32.375484,73.22306,40.682457,3.0446296,2.4547694,1.5608052,0.5312053,0.99411494,0.112566754,-0.49379984,0.60033345,196.10133,160.0,138.0,103.0,139.0,116.0,326.0,490.0,414.0,67.0,33.0,32.0,16.0,14.0,3.0,2.0,-3.0,2050.0,R101,-186.0,-173.0,-5.0,299.0,-336.0,838.0,-1.0499684,1.0846632,0.77350503,0.85634995,-3.2356255,0.8661904,4.0479956,0.62470526,1.3527391,2.1282513,0.97752035,0.28637108,2.4649816,1.2018073,6.0407896,6.8240476,25.244324,-1.0,3.0,12.0,6.0,-3.0,9.0,1.0,10.0,8.0,20.0,5.0,9.0,39.0,21.0,76.0,99.0,314.0
0.242,L101,-254.0,12.0,25.0,64.0,-417.0,1361.0,8.4651785,13.799287,8.531232,11.768263,2.3496442,14.269712,23.09278,20.23779,2.1367946,1.2672058,1.0145017,0.4746641,2.8428793,0.7363365,-0.18184212,0.6875268,111.49196,145.0,143.0,131.0,188.0,85.0,179.0,294.0,292.0,53.0,16.0,14.0,15.0,38.0,14.0,5.0,-1.0,1611.0,R101,-107.0,-113.0,57.0,-352.0,565.0,1034.0,-0.86649245,1.1774578,0.7750686,0.85634995,-3.0753064,0.9995556,4.0479956,0.5069384,1.2223802,2.0218422,1.0876157,0.87444043,6.887192,2.7903695,12.321901,9.008195,40.6355,1.0,4.0,11.0,6.0,-2.0,11.0,1.0,4.0,18.0,19.0,10.0,16.0,88.0,57.0,146.0,178.0,568.0
0.297,L101,-358.0,-100.0,34.0,263.0,-1123.0,2422.0,5.1203575,7.883076,3.721521,4.7909904,0.820021,4.353264,5.9851313,3.1164157,1.1995357,0.7950735,1.0230237,0.36030018,0.39694083,0.29151344,-0.38901776,0.60033345,40.068485,82.0,88.0,60.0,74.0,37.0,56.0,89.0,65.0,17.0,8.0,5.0,13.0,4.0,6.0,3.0,-3.0,604.0,R101,-278.0,-113.0,43.0,349.0,219.0,2188.0,-0.58810455,0.9898924,0.77827114,0.82242346,-2.4650414,0.79954964,4.000637,0.523243,1.2260028,6.0007005,2.3877184,2.3443644,20.316986,8.640426,20.277752,14.748746,80.80357,4.0,2.0,10.0,5.0,2.0,8.0,-1.0,5.0,17.0,67.0,37.0,39.0,196.0,151.0,219.0,260.0,1021.0
0.350,L101,-280.0,-88.0,26.0,65.0,-554.0,2540.0,2.501676,4.127018,2.2197025,2.9759593,-0.3784427,1.8862287,3.5628576,0.65562785,1.6671574,0.27855557,1.1903547,-0.17807701,0.24034686,0.0512933,0.123114325,0.6875268,21.610899,40.0,47.0,33.0,38.0,8.0,17.0,24.0,11.0,4.0,-3.0,-2.0,4.0,1.0,2.0,8.0,-1.0,231.0,R101,-15.0,-10.0,1.0,-7.0,9.0,1015.0,0.8858494,0.9898924,0.8666115,0.9968515,-1.2622584,3.4243383,4.243103,1.2204866,1.7584327,9.941459,5.9466267,4.8183327,26.43438,13.0067,23.303587,15.573955,112.148346,20.0,2.0,2.0,10.0,11.0,47.0,9.0,28.0,45.0,131.0,82.0,94.0,234.0,204.0,244.0,268.0,1431.0
0.453,L101,187.0,16.0,80.0,-62.0,547.0,380.0,0.115675956,0.91916835,0.95407593,0.7105949,-0.78185743,0.58109325,3.1756516,0.36488646,1.7918508,0.3179901,1.2269567,-0.05480285,0.34354064,-0.13767837,0.022221994,0.6875268,10.236894,-3.0,-2.0,-1.0,6.0,1.0,-3.0,11.0,0.0,2.0,-2.0,-3.0,6.0,3.0,-1.0,7.0,-1.0,20.0,R101,-7.0,-4.0,-1.0,-19.0,19.0,1013.0,1.7343367,1.1774578,0.8666115,0.9968515,-1.1422131,3.9719021,4.3955803,1.179462,2.510699,11.709714,6.3807435,5.379094,29.25415,14.106626,24.964258,17.247482,124.73276,30.0,4.0,2.0,10.0,12.0,55.0,15.0,27.0,61.0,157.0,87.0,105.0,250.0,216.0,257.0,283.0,1571.0
0.508,L101,283.0,11.0,15.0,31.0,572.0,733.0,0.18552329,0.91916835,0.91130126,0.4464872,-0.8445332,0.7159244,3.1185477,0.34328243,2.0083463,0.27855557,1.2269567,0.06630566,0.2913384,-0.13767837,0.022221994,0.82150817,10.373256,-1.0,-2.0,-3.0,3.0,0.0,-1.0,9.0,-1.0,-1.0,-3.0,-3.0,8.0,2.0,-1.0,7.0,2.0,15.0,R101,-1.0,0.0,-1.0,-19.0,25.0,997.0,1.5713685,1.2683654,0.90729773,1.1830697,-0.4744062,3.629187,4.4738617,0.81747633,3.153873,12.764818,6.9033785,5.0154533,29.98239,14.864156,25.35775,16.223753,127.6418,28.0,5.0,0.0,15.0,18.0,50.0,18.0,17.0,72.0,171.0,93.0,98.0,254.0,224.0,260.0,274.0,1597.0
0.559,L101,314.0,-15.0,-10.0,249.0,80.0,1218.0,0.14972906,1.1117884,0.9321551,0.4464872,-0.66044307,0.64866316,3.0062442,0.34328243,1.7918508,0.3179901,1.2669028,0.3024515,0.14204775,-0.13767837,0.123114325,0.86700326,10.651589,-2.0,2.0,-2.0,3.0,3.0,-2.0,5.0,-1.0,2.0,-2.0,-4.0,12.0,-1.0,-1.0,8.0,3.0,23.0,R101,-3.0,0.0,-1.0,-18.0,27.0,998.0,2.2747612,1.3574727,0.88597476,0.9256469,-0.57966906,4.040653,4.8295126,0.8823086,3.8727617,13.487376,6.641946,5.379094,28.893547,14.577766,22.92972,13.97107,124.36994,37.0,6.0,1.0,8.0,17.0,56.0,31.0,19.0,83.0,180.0,90.0,105.0,248.0,221.0,241.0,252.0,1595.0
