,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,145,143,140,35,0,0
1,0,0,0,141,139,137,135,134,0,0
2,0,0,137,135,132,128,127,127,127,0
3,0,0,133,128,124,120,118,119,120,0
4,0,130,127,122,117,114,111,113,115,0
5,0,124,121,116,112,109,108,109,111,112
6,0,118,114,110,108,106,105,106,108,110
7,118,113,109,106,104,103,102,102,103,107
8,115,109,104,100,97,96,95,97,99,103
9,113,105,98,88,86,86,90,92,95,99
10,112,101,88,82,81,83,83,83,87,96
11,113,95,83,84,91,94,85,76,79,95
12,115,92,82,94,107,109,97,74,77,100
13,117,93,81,99,113,115,102,77,86,0
14,98,97,80,94,110,111,97,86,105,0
15,0,108,75,83,101,104,93,102,128,0
16,0,129,76,71,89,93,101,125,156,0
17,0,157,94,68,77,88,115,146,184,0
18,0,0,133,72,75,94,126,164,209,0
19,0,0,189,86,79,98,132,175,224,221
20,0,0,211,136,85,101,130,174,220,245
21,0,0,218,143,85,94,117,154,197,226
22,0,0,55,143,87,82,96,123,158,197
23,0,0,0,158,100,82,84,95,122,172
24,0,0,0,176,118,98,88,84,102,155
25,0,0,0,200,135,112,102,91,100,150
26,0,0,0,227,153,126,115,103,111,162
27,0,0,0,247,184,142,129,120,133,25
28,0,0,0,0,231,171,150,147,184,0
29,0,0,0,0,0,232,206,213,0,0
