#time,left.insoleId,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,left.totalForce,left.rawForces.0,left.rawForces.1,left.rawForces.2,left.rawForces.3,left.rawForces.4,left.rawForces.5,left.rawForces.6,left.rawForces.7,left.rawForces.8,left.rawForces.12,left.rawForces.13,left.rawForces.14,left.rawForces.17,left.rawForces.18,left.rawForces.21,left.rawForces.22,left.totalRawForce,right.insoleId,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22,right.totalForce,right.rawForces.0,right.rawForces.1,right.rawForces.2,right.rawForces.3,right.rawForces.4,right.rawForces.5,right.rawForces.6,right.rawForces.7,right.rawForces.8,right.rawForces.12,right.rawForces.13,right.rawForces.14,right.rawForces.17,right.rawForces.18,right.rawForces.21,right.rawForces.22,right.totalRawForce
0.136,L101,-5.0,-1.0,0.0,9.0,29.0,1007.0,3.3471012,4.127018,4.281402,6.317114,2.958924,12.819043,9.732066,10.202214,3.7949698,3.7880456,7.691327,6.9979773,7.529428,6.512121,5.2962117,4.857437,100.2524,53.0,47.0,69.0,106.0,100.0,164.0,158.0,175.0,77.0,50.0,106.0,132.0,83.0,137.0,70.0,73.0,1600.0,R101,-7.0,-165.0,78.0,70.0,3571.0,1211.0,0.25089818,3.4836578,1.6247147,1.5047237,0.109927386,1.8693534,4.3955803,0.7005093,1.2607923,0.37804067,0.9206464,-0.38909772,-0.024885884,0.43781045,2.0843077,0.88176733,19.488747,13.0,35.0,49.0,23.0,24.0,24.0,15.0,13.0,13.0,5.0,0.0,2.0,4.0,0.0,23.0,15.0,258.0
0.286,L101,-100.0,24.0,-6.0,-65.0,-28.0,1257.0,2.8933523,7.6837544,12.445145,21.501661,3.6903212,23.655476,18.515032,19.3575,2.6980634,1.1427956,2.2432632,4.347464,1.4763035,1.1414834,2.2584534,2.1823156,127.23238,46.0,86.0,184.0,290.0,115.0,263.0,258.0,284.0,62.0,14.0,44.0,90.0,21.0,22.0,31.0,29.0,1839.0,R101,243.0,-34.0,-90.0,-145.0,1114.0,608.0,0.34307277,4.2258253,1.841129,1.4629576,-0.79731625,1.7351843,4.2182093,0.5802484,1.2908818,0.24858661,0.91615796,0.10285662,-0.3261457,0.37092736,2.0060406,1.6002291,19.818844,14.0,46.0,54.0,22.0,15.0,22.0,8.0,8.0,11.0,4.0,-1.0,7.0,-1.0,-2.0,22.0,20.0,249.0
0.293,L101,-134.0,19.0,-9.0,-77.0,-65.0,1469.0,4.043613,11.128631,15.7985115,30.658451,2.620252,20.282745,18.630108,18.827707,1.3175522,1.3308556,1.4255674,2.8345199,1.2634943,0.99363226,2.930635,2.2930067,136.37927,64.0,119.0,226.0,362.0,92.0,235.0,259.0,279.0,34.0,17.0,29.0,61.0,18.0,19.0,39.0,31.0,1884.0,R101,352.0,25.0,-25.0,-116.0,328.0,1667.0,0.6169291,3.4169607,1.979106,1.5895666,-0.4744062,1.1998174,4.0479956,0.54091585,1.4356092,-0.15037605,0.9227458,-0.38909772,-0.44234455,0.43781045,2.1620681,2.949774,19.843073,17.0,34.0,57.0,25.0,18.0,14.0,1.0,6.0,5.0,1.0,-5.0,2.0,-3.0,0.0,24.0,31.0,227.0
0.362,L101,-193.0,34.0,-12.0,-66.0,-113.0,1651.0,4.8884096,14.026673,19.305254,45.728214,1.1345121,12.819043,13.168851,15.32328,1.9182317,1.0821,0.9935302,1.693604,1.1267163,0.78896344,3.255556,2.8640518,140.117,78.0,145.0,265.0,434.0,47.0,164.0,204.0,242.0,49.0,13.0,11.0,38.0,16.0,15.0,43.0,41.0,1805.0,R101,381.0,91.0,11.0,-315.0,27.0,2727.0,1.4885397,3.88536,1.7524498,1.7200705,-0.3714619,1.1998174,4.193462,0.44700068,1.3779742,0.24858661,0.9144459,0.19552408,-0.20746252,0.43781045,2.0060406,2.7263794,22.01454,27.0,41.0,52.0,28.0,19.0,14.0,7.0,-1.0,7.0,4.0,-3.0,8.0,1.0,0.0,22.0,29.0,255.0
0.437,L101,-389.0,44.0,51.0,195.0,-679.0,2821.0,2.6322873,5.8658576,5.0595255,5.583004,0.885016,1.8862287,4.046168,1.3140422,1.2162255,0.40170717,1.1570392,0.36030018,0.24034686,0.4635567,0.9042939,2.2930067,34.308605,42.0,67.0,81.0,91.0,39.0,17.0,39.0,29.0,16.0,0.0,-1.0,13.0,1.0,9.0,16.0,31.0,490.0,R101,309.0,59.0,-92.0,-97.0,-1927.0,2566.0,1.5713685,4.020673,2.7998602,1.9924934,-0.27079472,1.1330345,4.1444016,0.5802484,1.3779742,0.5057741,0.9274927,-0.5999362,-0.14720464,0.5056839,2.3161838,3.0580373,23.915287,28.0,43.0,73.0,34.0,20.0,13.0,5.0,8.0,7.0,6.0,1.0,0.0,2.0,2.0,26.0,32.0,300.0
0.515,L101,101.0,45.0,-168.0,177.0,1925.0,1136.0,1.6641189,2.5429127,2.0273232,1.4436396,0.01652525,0.8495664,3.1756516,0.7506897,1.9321578,0.3179901,1.1903547,-0.49644136,0.34354064,0.29151344,2.4294593,2.4049075,20.883907,27.0,26.0,29.0,15.0,16.0,1.0,11.0,14.0,0.0,-2.0,-2.0,-1.0,3.0,6.0,33.0,33.0,209.0,R101,-65.0,-40.0,-3.0,793.0,-4299.0,1287.0,1.3203002,4.3643737,3.0233667,2.086611,-0.3714619,1.668151,4.0479956,0.6487849,1.3092324,0.75618774,0.961709,-0.5999362,1.3945305,1.2410948,8.271304,6.8754573,36.997704,25.0,48.0,77.0,36.0,19.0,21.0,1.0,11.0,10.0,8.0,4.0,0.0,25.0,22.0,103.0,101.0,511.0
0.588,L101,179.0,-16.0,22.0,-342.0,912.0,420.0,1.4772713,2.1438167,2.1223402,1.4436396,-0.12420734,1.0479956,3.062081,0.7506897,1.7918508,0.49160206,1.0762466,-0.49644136,0.50728446,-0.010825335,2.8482897,2.8056846,20.937319,24.0,20.0,31.0,15.0,13.0,4.0,7.0,14.0,2.0,2.0,2.0,-1.0,6.0,1.0,38.0,40.0,218.0,R101,-316.0,-19.0,-25.0,303.0,144.0,2162.0,1.8144386,3.8180509,1.3183998,4.9855046,0.4575044,1.3334721,4.0479956,0.46653515,1.3092324,2.9334807,1.1155406,0.71459866,9.9745655,5.9184117,47.112514,31.98215,119.3024,31.0,40.0,41.0,87.0,28.0,16.0,1.0,1.0,10.0,28.0,11.0,14.0,117.0,112.0,381.0,381.0,1299.0
0.888,L101,262.0,-59.0,11.0,-618.0,-2264.0,1869.0,1.6641189,2.7519214,2.6844707,2.0956562,0.10589952,1.1136401,3.1185477,1.0338919,1.4200655,0.5387615,1.1570392,-0.49644136,0.34354064,0.112566754,2.765482,3.1001725,23.509333,27.0,29.0,42.0,24.0,18.0,5.0,9.0,22.0,9.0,3.0,-1.0,-1.0,3.0,3.0,37.0,45.0,274.0,R101,-11.0,-10.0,0.0,-18.0,30.0,1049.0,2.4202154,3.4836578,1.6665663,3.7415252,0.6196776,1.1330345,4.000637,0.45600685,2.199781,7.8627467,2.8657882,1.3876952,17.550272,8.268412,37.10143,26.143755,120.9012,39.0,35.0,50.0,67.0,30.0,13.0,-1.0,0.0,55.0,97.0,44.0,23.0,177.0,146.0,335.0,347.0,1457.0
0.963,L101,-275.0,-60.0,0.0,-473.0,223.0,1859.0,2.2410464,3.8045368,4.6664734,4.4174743,0.47034997,1.0479956,3.0340843,1.0721513,1.4200655,1.4608864,0.9924446,-0.43155134,5.710237,3.5130363,35.260994,31.879122,100.55934,36.0,43.0,75.0,66.0,27.0,4.0,6.0,23.0,9.0,19.0,9.0,0.0,67.0,78.0,378.0,343.0,1183.0,R101,-3.0,3.0,0.0,-36.0,38.0,997.0,2.9610262,3.6839662,1.7091503,2.8963847,1.7345188,3.5608418,4.1688595,0.6487849,2.9101253,8.10198,4.0099845,1.7773296,16.440748,7.0541973,21.826788,14.35394,97.83863,47.0,38.0,51.0,52.0,47.0,49.0,6.0,11.0,68.0,101.0,59.0,29.0,169.0,129.0,232.0,256.0,1344.0
1.037,L101,-197.0,73.0,7.0,168.0,61.0,1707.0,2.3060787,3.6467667,4.9935107,4.6516476,-0.029468155,0.98210907,2.9785597,0.36488646,1.1740463,4.3566513,1.9334912,0.8080192,13.35302,5.5773163,30.765827,31.217285,109.07974,37.0,41.0,80.0,71.0,15.0,3.0,4.0,0.0,26.0,57.0,39.0,21.0,128.0,121.0,351.0,339.0,1333.0,R101,-5.0,-2.0,-1.0,-39.0,32.0,989.0,2.8319857,3.8180509,2.2713938,1.9460491,2.6571524,4.6628733,5.899135,2.5099792,3.2795475,7.922576,4.4176383,2.9279172,13.175613,6.5099106,13.754683,8.925811,87.510315,45.0,40.0,63.0,33.0,68.0,65.0,65.0,54.0,74.0,98.0,64.0,51.0,144.0,121.0,160.0,176.0,1321.0
