,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22
0,-12.0,5.0,0.0,33.0,53.0,976.0,0.18552329,0.91916835,0.95407593,0.6236984,0.61590886,1.3092263,3.2333996,0.511785,1.158789,5.583944,2.1153421,0.3024515,27.980322,7.9727635,26.646639,29.618837,114.0,79.0,34.0,-43.0,1312.0,628.0,-1.1408108,0.5892044,0.7980176,0.96101207,-2.7640522,0.2010139,4.0718846,0.55992734,1.4680909,-0.015593896,0.91615796,-0.38909772,-0.08634382,0.9343169,0.08753522,-0.9626641
1,-12.0,9.0,0.0,24.0,43.0,1010.0,0.18552329,0.91916835,0.95407593,0.4464872,0.61590886,1.8226972,3.3212454,0.65562785,1.4746094,7.1965947,2.1153421,0.5312053,30.283485,8.333723,24.50929,27.364233,182.0,73.0,9.0,56.0,890.0,982.0,-1.2309331,0.5892044,0.77827114,0.9256469,-2.4650414,0.13464636,4.0479956,0.54091585,1.4356092,-0.015593896,0.91407496,-0.38909772,-0.08634382,0.9343169,0.08753522,-0.9626641
2,-8.0,8.0,0.0,19.0,35.0,1004.0,0.3026972,0.9659907,0.9770462,0.4464872,1.1951033,2.391122,3.2333996,0.9592206,2.1367946,7.6695533,2.1153421,0.9162328,29.92486,8.933559,22.543837,23.955046,213.0,83.0,33.0,-63.0,357.0,1274.0,-0.95849884,0.8930551,0.8080829,0.9968515,-2.7640522,0.13464636,4.0718846,0.55992734,1.4356092,-0.28699034,0.9206464,-0.4934752,-0.14720464,0.7872999,0.3785097,-0.9626641
3,-8.0,9.0,4.0,14.0,29.0,1001.0,0.6762685,0.91916835,1.0010482,0.35614976,1.7089458,2.955814,3.5014343,1.2723054,3.4868321,9.725572,3.266219,1.4399922,31.186981,9.322289,19.428808,19.811451,171.0,84.0,37.0,-377.0,-331.0,1434.0,-0.95849884,0.5892044,0.7897148,0.788982,-2.7640522,0.2010139,4.000637,0.54091585,1.5806947,0.37804067,0.91615796,-0.4934752,-0.14720464,0.6444469,-0.11332944,-1.7320627
4,-5.0,5.0,0.0,10.0,25.0,1008.0,1.1169024,1.1117884,1.0260649,0.35614976,3.1411588,5.1427746,4.251169,1.399149,5.0187197,11.475071,5.3761363,1.893842,28.858387,8.333723,15.179259,15.970447,154.0,116.0,64.0,-469.0,-402.0,1688.0,-1.2309331,0.48315126,0.8199424,0.75602806,-2.4650414,0.068306506,3.9538326,0.5069384,1.4680909,0.24858661,0.9206464,0.10285662,-0.14720464,0.6797736,0.08753522,-1.3403915
5,-5.0,0.0,0.0,5.0,22.0,1006.0,1.2347175,1.3720835,1.135938,0.6236984,4.254269,6.8149643,6.2564983,1.9518297,7.4327326,12.339206,6.521978,2.141981,24.06325,7.9727635,10.457656,10.689362,184.0,113.0,48.0,-164.0,-576.0,1606.0,-0.95849884,0.5892044,0.783143,0.82242346,-2.6130366,0.26740894,4.0479956,0.54091585,1.4356092,0.24858661,0.9206464,-0.28676605,-0.14720464,0.57455915,0.4729377,-1.1498079
6,-8.0,-1.0,0.0,9.0,15.0,1004.0,1.4158595,1.4266679,1.1965274,0.53566635,5.083484,9.288441,8.091269,3.8124459,8.727177,13.062408,7.7891746,2.8843443,16.371284,5.7447386,5.0076904,6.1358137,169.0,114.0,-29.0,93.0,-556.0,1453.0,-1.2309331,0.5892044,0.77827114,0.85634995,-2.320026,0.0019945984,4.0242467,0.49203193,1.4680909,-0.5658293,0.9173196,-0.8192602,-0.26711157,0.6093758,0.4729377,-2.346532
7,-12.0,-3.0,0.0,10.0,11.0,1008.0,1.727164,2.2739806,1.7146137,1.3663871,4.8823867,14.269712,10.267902,6.3778677,10.419384,13.207915,10.507002,3.3892727,8.370716,3.6407626,0.8090736,2.2930067,155.0,68.0,-84.0,445.0,-590.0,1411.0,-0.95849884,0.37454644,0.7980176,0.9256469,-2.320026,0.2010139,4.0242467,0.5802484,1.4680909,-0.28699034,0.91407496,-0.1864424,-0.3261457,0.57455915,0.8390317,-1.3403915
8,-7.0,-11.0,0.0,12.0,8.0,1026.0,2.5669734,4.712613,2.2692344,2.7389574,6.4117618,19.707241,16.344027,9.305559,11.250794,11.11419,11.077273,3.2362866,1.7738748,1.4703304,-0.38901776,1.2944504,125.0,35.0,-64.0,577.0,-933.0,1267.0,-1.2309331,0.5892044,0.7750686,0.85634995,-2.1779497,0.3338313,4.0479956,0.523243,1.4356092,-0.15037605,0.9274927,-0.38909772,-0.20746252,0.6444469,0.3785097,-1.1498079
9,-78.0,-37.0,7.0,60.0,-12.0,1347.0,4.4723735,8.083775,4.218085,3.8855007,7.940204,25.05516,26.064976,12.288474,10.58634,5.583944,6.425278,1.0761755,0.86577916,0.78896344,-0.18184212,1.0059359,38.0,6.0,10.0,502.0,-1602.0,1063.0,-1.1408108,0.79405826,0.77827114,0.89075863,-2.1779497,0.3338313,4.0479956,0.55992734,1.4680909,0.24858661,0.9206464,-0.9321988,-0.08634382,0.7153573,0.18585505,-0.7789142
