,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,-160.0,43.0,-7.0,-315.0,194.0,1540.0,0.17357379,7.6826897,-0.35182565,-0.2710671,-0.23443617,2.1323009,1.9826097,-0.31228644,-0.20741008,0.91005653,0.94168395,-0.81542087,5.4316487,6.113548,21.76476,17.3768,-43.0,0.0,-3.0,-80.0,40.0,1145.0,3.3150322,12.915381,11.265213,9.996551,11.098816,18.969498,31.243546,16.120066,4.431091,2.5616195,2.2155058,-0.47361618,4.0658855,5.493705,1.2910047,-1.3752719
1,-160.0,43.0,-7.0,-315.0,194.0,1540.0,0.17357379,7.6826897,-0.35182565,-0.2710671,-0.23443617,2.1323009,1.9826097,-0.31228644,-0.20741008,0.91005653,0.94168395,-0.81542087,5.4316487,6.113548,21.76476,17.3768,-43.0,0.0,-3.0,-80.0,40.0,1145.0,3.3150322,12.915381,11.265213,9.996551,11.098816,18.969498,31.243546,16.120066,4.431091,2.5616195,2.2155058,-0.47361618,4.0658855,5.493705,1.2910047,-1.3752719
2,-7.0,0.0,-1.0,8.0,97.0,996.0,0.54355526,7.950527,0.4596398,4.701384,1.2289935,1.711238,0.8138306,2.2067962,0.2664092,3.4324753,5.0337696,0.2113208,10.643393,10.072,21.909538,10.926294,-52.0,-2.0,-5.0,-75.0,14.0,1211.0,3.8463411,13.463498,11.601895,11.9330015,9.468682,24.979733,33.987743,15.348746,3.7682128,0.205447,0.2642667,-0.8149517,2.7575474,5.339383,1.0118333,-1.1483352
3,-7.0,0.0,-1.0,8.0,97.0,996.0,0.54355526,7.950527,0.4596398,4.701384,1.2289935,1.711238,0.8138306,2.2067962,0.2664092,3.4324753,5.0337696,0.2113208,10.643393,10.072,21.909538,10.926294,-52.0,-2.0,-5.0,-75.0,14.0,1211.0,3.8463411,13.463498,11.601895,11.9330015,9.468682,24.979733,33.987743,15.348746,3.7682128,0.205447,0.2642667,-0.8149517,2.7575474,5.339383,1.0118333,-1.1483352
4,-7.0,0.0,-1.0,8.0,97.0,996.0,0.54355526,7.950527,0.4596398,4.701384,1.2289935,1.711238,0.8138306,2.2067962,0.2664092,3.4324753,5.0337696,0.2113208,10.643393,10.072,21.909538,10.926294,-52.0,-2.0,-5.0,-75.0,14.0,1211.0,3.8463411,13.463498,11.601895,11.9330015,9.468682,24.979733,33.987743,15.348746,3.7682128,0.205447,0.2642667,-0.8149517,2.7575474,5.339383,1.0118333,-1.1483352
5,-4.0,-1.0,-1.0,11.0,74.0,993.0,0.33213913,7.950527,0.30126038,5.2740088,1.5968446,1.5936128,0.6033482,3.639989,0.3184077,3.982196,5.398121,0.13617952,11.30204,9.902025,25.176239,12.368416,-115.0,-13.0,-9.0,-60.0,-33.0,1239.0,5.4669757,16.035118,13.077669,16.190039,3.467647,17.768797,22.233582,10.333402,2.4721258,1.4615619,1.5750115,0.07925259,0.99627537,4.737174,1.3328537,-1.1483352
6,-2.0,-1.0,0.0,16.0,87.0,998.0,0.3849888,7.9895444,1.0743431,5.2131743,2.5149856,1.5661384,0.80549395,6.8798566,0.47377288,4.4524636,6.8998833,0.66615456,13.420837,11.282193,31.056507,16.094584,-148.0,-37.0,-15.0,-106.0,-77.0,1245.0,8.134129,17.935936,13.526065,19.047287,2.2295485,8.701531,11.169341,8.3408165,1.5278128,1.63994,1.6851672,0.4015686,1.1870135,4.9299583,1.2910047,-1.4190081
7,-2.0,-1.0,0.0,16.0,87.0,998.0,0.3849888,7.9895444,1.0743431,5.2131743,2.5149856,1.5661384,0.80549395,6.8798566,0.47377288,4.4524636,6.8998833,0.66615456,13.420837,11.282193,31.056507,16.094584,-148.0,-37.0,-15.0,-106.0,-77.0,1245.0,8.134129,17.935936,13.526065,19.047287,2.2295485,8.701531,11.169341,8.3408165,1.5278128,1.63994,1.6851672,0.4015686,1.1870135,4.9299583,1.2910047,-1.4190081
8,-1.0,0.0,-1.0,7.0,54.0,1032.0,0.43783978,8.107749,1.8022349,5.453036,2.9035056,1.570359,0.8954543,8.345787,0.9354954,4.843886,6.8140583,0.66615456,14.49234,12.008709,31.462492,16.301773,-236.0,-45.0,-40.0,-85.0,-385.0,1483.0,1.8190416,9.440231,5.9674764,7.8007717,0.5780895,0.69705313,0.76807964,3.0459995,0.5643314,1.2794973,1.2359376,-0.47361618,1.7042586,5.0149636,1.5941862,-1.2585986
9,-1.0,0.0,-1.0,7.0,54.0,1032.0,0.43783978,8.107749,1.8022349,5.453036,2.9035056,1.570359,0.8954543,8.345787,0.9354954,4.843886,6.8140583,0.66615456,14.49234,12.008709,31.462492,16.301773,-236.0,-45.0,-40.0,-85.0,-385.0,1483.0,1.8190416,9.440231,5.9674764,7.8007717,0.5780895,0.69705313,0.76807964,3.0459995,0.5643314,1.2794973,1.2359376,-0.47361618,1.7042586,5.0149636,1.5941862,-1.2585986
10,-1.0,0.0,-1.0,17.0,76.0,1031.0,0.6493049,8.147537,1.6601261,6.020697,3.369274,1.583739,1.117049,10.19721,0.73094803,5.000386,6.379847,0.66615456,14.49234,11.475859,27.973864,15.687831,-239.0,-56.0,-52.0,-173.0,-138.0,1123.0,0.5266774,2.4879117,3.5649202,3.555898,-0.113300525,0.5048586,1.2747052,0.9326066,0.3339157,0.70967597,0.8834384,-1.2815226,1.5964816,5.309043,1.5941862,-1.354036
11,-1.0,0.0,0.0,4.0,24.0,1012.0,0.6493049,8.26808,1.9426568,5.8541365,3.4152355,1.6298438,0.86388445,11.913807,0.8844361,5.0786304,6.379847,1.4344738,15.032362,10.904612,23.722038,13.711275,170.0,15.0,35.0,287.0,310.0,573.0,0.32744038,1.4486752,0.357291,-0.83053327,-0.27443227,0.51079625,1.643678,-0.0056347074,0.25489208,0.5113465,1.2359376,-1.2815226,1.3872776,4.9019446,1.8252566,-1.0340245
12,-1.0,0.0,0.0,4.0,24.0,1012.0,0.6493049,8.26808,1.9426568,5.8541365,3.4152355,1.6298438,0.86388445,11.913807,0.8844361,5.0786304,6.379847,1.4344738,15.032362,10.904612,23.722038,13.711275,170.0,15.0,35.0,287.0,310.0,573.0,0.32744038,1.4486752,0.357291,-0.83053327,-0.27443227,0.51079625,1.643678,-0.0056347074,0.25489208,0.5113465,1.2359376,-1.2815226,1.3872776,4.9019446,1.8252566,-1.0340245
13,-1.0,1.0,0.0,-5.0,39.0,1010.0,0.6493049,8.308656,1.9426568,5.684696,3.4152355,1.770188,1.1591879,12.352328,0.8844361,4.6090713,6.641374,1.1260831,13.821433,10.720586,21.336018,12.448626,275.0,21.0,17.0,-248.0,266.0,805.0,0.3270961,0.5043135,0.87631303,-0.25842527,-0.113300525,0.5158918,1.8623058,-0.0056347074,0.093339,0.9037072,1.3504211,0.187465,1.5964816,4.986467,1.8252566,-0.9042482
14,0.0,1.0,0.0,7.0,37.0,995.0,0.54355526,8.227702,2.6202824,5.3939104,3.6905844,2.1340027,1.6014556,13.736549,1.3428895,4.2174234,7.0704727,1.7436429,13.0215225,9.35589,18.188362,11.896752,280.0,42.0,-36.0,-72.0,-94.0,1157.0,0.34986106,0.105209164,1.0444175,0.014847062,-0.19551072,0.5225674,1.643678,0.121604994,0.010749209,1.0935963,1.3504211,-0.47361618,1.4907979,5.0149636,1.8729076,-0.7607414
15,0.0,0.0,0.0,3.0,23.0,1002.0,0.70219874,8.556325,2.6202824,4.898989,3.828677,2.4997506,1.893398,13.832478,0.67966384,3.7467558,6.4673476,2.5942388,12.226106,9.35589,17.010065,10.569457,242.0,77.0,-58.0,-43.0,-333.0,1372.0,0.34986106,0.306335,0.5327865,-0.25842527,-0.19551072,0.5072676,1.7139735,0.121604994,0.010749209,1.4615619,1.2359376,0.29490194,1.285992,4.9581323,1.6851728,-0.8341069
16,0.0,0.0,0.0,10.0,37.0,1009.0,0.7551085,8.598315,2.3540359,4.7680817,4.014122,3.3233175,2.5671928,14.025696,1.0884393,4.687354,6.8998833,3.13332,11.433869,8.64153,15.052765,9.4082575,230.0,87.0,-38.0,100.0,-387.0,1504.0,0.3601966,0.306335,1.210131,-0.25842527,-0.15479507,0.5225674,1.786842,0.36717516,-0.33241612,0.9991599,1.0024711,-0.36145216,1.3872776,4.9019446,2.068263,-0.8341069
